joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
0.000000,0.004131,1.135821,249.8806
0.001572,0.005916,1.191568,262.1449
0.003143,0.007877,1.246516,274.2336
0.004715,0.009834,1.244911,273.8804
0.006286,0.011790,1.243301,273.5263
0.007858,0.013742,1.241701,273.1743
0.009429,0.015692,1.240111,272.8243
0.011001,0.017640,1.238529,272.4765
0.012573,0.019585,1.236957,272.1306
0.014144,0.021528,1.235395,271.7868
0.015716,0.023468,1.233841,271.4450
0.017287,0.025406,1.232296,271.1052
0.018859,0.027342,1.230761,270.7674
0.020430,0.029275,1.229234,270.4315
0.022002,0.031205,1.227716,270.0975
0.023574,0.033134,1.226207,269.7655
0.025145,0.035059,1.224706,269.4353
0.026717,0.036983,1.223214,269.1071
0.028288,0.038904,1.221730,268.7807
0.029860,0.040823,1.220255,268.4561
0.031431,0.042740,1.218788,268.1334
0.033003,0.044654,1.217329,267.8125
0.034575,0.046566,1.215879,267.4934
0.036146,0.048476,1.214437,267.1760
0.037718,0.050383,1.213002,266.8605
0.039289,0.052288,1.211576,266.5467
0.040861,0.054191,1.210157,266.2346
0.042432,0.056092,1.208747,265.9242
0.044004,0.057990,1.207344,265.6156
0.045576,0.059887,1.205948,265.3086
0.047147,0.061781,1.204561,265.0033
0.048719,0.063673,1.203181,264.6997
0.050290,0.065563,1.201808,264.3977
0.051862,0.067450,1.200443,264.0974
0.053433,0.069336,1.199085,263.7987
0.055005,0.071219,1.197734,263.5016
0.056577,0.073100,1.196391,263.2060
0.058148,0.074980,1.195055,262.9121
0.059720,0.076857,1.193726,262.6197
0.061291,0.078732,1.192404,262.3288
0.062863,0.080605,1.191089,262.0395
0.064434,0.082475,1.189781,261.7518
0.066006,0.084344,1.188480,261.4655
0.067578,0.086211,1.187185,261.1807
0.069149,0.088076,1.185898,260.8975
0.070721,0.089938,1.184617,260.6156
0.072292,0.091799,1.183342,260.3353
0.073864,0.093658,1.182075,260.0564
0.075435,0.095515,1.180813,259.7789
0.077007,0.097369,1.179559,259.5029
0.078579,0.099222,1.178310,259.2283
0.080150,0.101073,1.177068,258.9550
0.081722,0.102922,1.175833,258.6832
0.083293,0.104769,1.174603,258.4127
0.084865,0.106614,1.173380,258.1436
0.086436,0.108457,1.172163,257.8759
0.088008,0.110298,1.170952,257.6095
0.089580,0.112137,1.169747,257.3444
0.091151,0.113975,1.168549,257.0807
0.092723,0.115810,1.167356,256.8183
0.094294,0.117644,1.166169,256.5571
0.095866,0.119476,1.164988,256.2973
0.097437,0.121306,1.163812,256.0387
0.099009,0.123134,1.162643,255.7814
0.100581,0.124960,1.161479,255.5254
0.102152,0.126784,1.160321,255.2706
0.103724,0.128607,1.159168,255.0171
0.105295,0.130428,1.158022,254.7647
0.106867,0.132247,1.156880,254.5136
0.108438,0.134064,1.155744,254.2638
0.110010,0.135879,1.154614,254.0151
0.111582,0.137693,1.153489,253.7676
0.113153,0.139505,1.152369,253.5212
0.114725,0.141315,1.151255,253.2761
0.116296,0.143124,1.150146,253.0321
0.117868,0.144930,1.149042,252.7892
0.119439,0.146735,1.147943,252.5475
0.121011,0.148538,1.146850,252.3070
0.122583,0.150340,1.145762,252.0675
0.124154,0.152140,1.144678,251.8292
0.125726,0.153938,1.143600,251.5920
0.127297,0.155734,1.142527,251.3559
0.128869,0.157529,1.141458,251.1209
0.130440,0.159322,1.140395,250.8869
0.132012,0.161113,1.139337,250.6540
0.133584,0.162903,1.138283,250.4222
0.135155,0.164691,1.137234,250.1915
0.136727,0.166478,1.136190,249.9618
0.138298,0.168262,1.135150,249.7331
0.139870,0.170045,1.134116,249.5055
0.141441,0.171827,1.133086,249.2789
0.143013,0.173607,1.132060,249.0533
0.144585,0.175385,1.131039,248.8287
0.146156,0.177162,1.130023,248.6051
0.147728,0.178937,1.129011,248.3825
0.149299,0.180711,1.128004,248.1609
0.150871,0.182483,1.127001,247.9403
0.152442,0.184253,1.126003,247.7206
0.154014,0.186022,1.125009,247.5019
0.155586,0.187789,1.124019,247.2842
0.157157,0.189555,1.123034,247.0674
0.158729,0.191319,1.122053,246.8516
0.160300,0.193081,1.121076,246.6366
0.161872,0.194843,1.120103,246.4226
0.163443,0.196602,1.119134,246.2096
0.165015,0.198360,1.118170,245.9974
0.166587,0.200117,1.117210,245.7862
0.168158,0.201872,1.116254,245.5758
0.169730,0.203625,1.115302,245.3664
0.171301,0.205377,1.114354,245.1578
0.172873,0.207128,1.113410,244.9501
0.174444,0.208877,1.112470,244.7433
0.176016,0.210624,1.111533,244.5373
0.177588,0.212371,1.110601,244.3322
0.179159,0.214115,1.109673,244.1280
0.180731,0.215858,1.108748,243.9246
0.182302,0.217600,1.107828,243.7221
0.183874,0.219340,1.106911,243.5203
0.185445,0.221079,1.105998,243.3195
0.187017,0.222817,1.105088,243.1194
0.188589,0.224553,1.104182,242.9201
0.190160,0.226287,1.103280,242.7217
0.191732,0.228021,1.102382,242.5241
0.193303,0.229752,1.101487,242.3272
0.194875,0.231483,1.100596,242.1312
0.196446,0.233212,1.099709,241.9359
0.198018,0.234939,1.098825,241.7415
0.199590,0.236665,1.097944,241.5478
0.201161,0.238390,1.097067,241.3548
0.202733,0.240114,1.096194,241.1627
0.204304,0.241836,1.095324,240.9713
0.205876,0.243556,1.094457,240.7806
0.207447,0.245276,1.093594,240.5907
0.209019,0.246994,1.092734,240.4015
0.210591,0.248710,1.091878,240.2131
0.212162,0.250426,1.091025,240.0254
0.213734,0.252140,1.090175,239.8384
0.215305,0.253852,1.089328,239.6522
0.216877,0.255564,1.088485,239.4666
0.218448,0.257274,1.087645,239.2818
0.220020,0.258982,1.086808,239.0977
0.221592,0.260690,1.085974,238.9143
0.223163,0.262396,1.085143,238.7316
0.224735,0.264100,1.084316,238.5495
0.226306,0.265804,1.083492,238.3682
0.227878,0.267506,1.082671,238.1875
0.229449,0.269207,1.081852,238.0075
0.231021,0.270906,1.081037,237.8282
0.232593,0.272605,1.080225,237.6496
0.234164,0.274302,1.079416,237.4716
0.235736,0.275997,1.078610,237.2942
0.237307,0.277692,1.077807,237.1175
0.238879,0.279385,1.077007,236.9415
0.240450,0.281077,1.076210,236.7661
0.242022,0.282768,1.075415,236.5914
0.243594,0.284457,1.074624,236.4172
0.245165,0.286145,1.073835,236.2438
0.246737,0.287832,1.073050,236.0709
0.248308,0.289518,1.072267,235.8986
0.249880,0.291203,1.071486,235.7270
0.251451,0.292886,1.070709,235.5560
0.253023,0.294568,1.069935,235.3856
0.254595,0.296249,1.069163,235.2158
0.256166,0.297929,1.068394,235.0466
0.257738,0.299607,1.067627,234.8780
0.259309,0.301284,1.066863,234.7100
0.260881,0.302960,1.066102,234.5425
0.262452,0.304635,1.065344,234.3757
0.264024,0.306309,1.064588,234.2094
0.265596,0.307981,1.063835,234.0437
0.267167,0.309653,1.063084,233.8786
0.268739,0.311323,1.062336,233.7140
0.270310,0.312992,1.061591,233.5500
0.271882,0.314660,1.060848,233.3866
0.273453,0.316326,1.060108,233.2237
0.275025,0.317992,1.059370,233.0614
0.276597,0.319656,1.058634,232.8996
0.278168,0.321319,1.057901,232.7383
0.279740,0.322981,1.057171,232.5776
0.281311,0.324642,1.056443,232.4175
0.282883,0.326302,1.055717,232.2578
0.284454,0.327960,1.054994,232.0987
0.286026,0.329618,1.054273,231.9401
0.287598,0.331274,1.053555,231.7821
0.289169,0.332929,1.052839,231.6245
0.290741,0.334583,1.052125,231.4675
0.292312,0.336236,1.051414,231.3110
0.293884,0.337888,1.050704,231.1550
0.295455,0.339539,1.049998,230.9995
0.297027,0.341188,1.049293,230.8445
0.298599,0.342837,1.048591,230.6899
0.300170,0.344484,1.047891,230.5359
0.301742,0.346130,1.047193,230.3824
0.303313,0.347775,1.046497,230.2294
0.304885,0.349420,1.045804,230.0768
0.306456,0.351063,1.045112,229.9247
0.308028,0.352705,1.044423,229.7731
0.309600,0.354345,1.043736,229.6220
0.311171,0.355985,1.043052,229.4713
0.312743,0.357624,1.042369,229.3212
0.314314,0.359261,1.041688,229.1714
0.315886,0.360898,1.041010,229.0222
0.317457,0.362534,1.040333,228.8734
0.319029,0.364168,1.039659,228.7250
0.320601,0.365801,1.038987,228.5771
0.322172,0.367434,1.038317,228.4297
0.323744,0.369065,1.037648,228.2827
0.325315,0.370695,1.036982,228.1361
0.326887,0.372324,1.036318,227.9900
0.328458,0.373952,1.035656,227.8443
0.330030,0.375579,1.034996,227.6990
0.331602,0.377206,1.034337,227.5542
0.333173,0.378831,1.033681,227.4098
0.334745,0.380455,1.033026,227.2658
0.336316,0.382077,1.032374,227.1223
0.337888,0.383699,1.031723,226.9791
0.339459,0.385320,1.031075,226.8364
0.341031,0.386940,1.030428,226.6941
0.342603,0.388559,1.029783,226.5522
0.344174,0.390177,1.029140,226.4107
0.345746,0.391794,1.028498,226.2697
0.347317,0.393410,1.027859,226.1290
0.348889,0.395025,1.027221,225.9887
0.350460,0.396638,1.026586,225.8488
0.352032,0.398251,1.025952,225.7093
0.353604,0.399863,1.025319,225.5703
0.355175,0.401474,1.024689,225.4315
0.356747,0.403084,1.024060,225.2932
0.358318,0.404693,1.023433,225.1553
0.359890,0.406301,1.022808,225.0177
0.361461,0.407908,1.022184,224.8806
0.363033,0.409514,1.021563,224.7438
0.364605,0.411119,1.020942,224.6073
0.366176,0.412723,1.020324,224.4713
0.367748,0.414326,1.019707,224.3356
0.369319,0.415928,1.019092,224.2003
0.370891,0.417529,1.018479,224.0653
0.372462,0.419129,1.017867,223.9307
0.374034,0.420728,1.017257,223.7965
0.375606,0.422326,1.016648,223.6626
0.377177,0.423923,1.016041,223.5291
0.378749,0.425520,1.015436,223.3959
0.380320,0.427115,1.014832,223.2630
0.381892,0.428710,1.014230,223.1306
0.383463,0.430303,1.013629,222.9984
0.385035,0.431896,1.013030,222.8666
0.386607,0.433487,1.012433,222.7352
0.388178,0.435078,1.011837,222.6041
0.389750,0.436667,1.011242,222.4733
0.391321,0.438256,1.010649,222.3428
0.392893,0.439844,1.010058,222.2127
0.394464,0.441431,1.009468,222.0829
0.396036,0.443017,1.008879,221.9534
0.397608,0.444602,1.008292,221.8243
0.399179,0.446186,1.007707,221.6955
0.400751,0.447769,1.007123,221.5670
0.402322,0.449352,1.006540,221.4388
0.403894,0.450933,1.005959,221.3109
0.405465,0.452514,1.005379,221.1834
0.407037,0.454093,1.004801,221.0561
0.408609,0.455672,1.004224,220.9292
0.410180,0.457250,1.003648,220.8026
0.411752,0.458826,1.003074,220.6763
0.413323,0.460402,1.002501,220.5502
0.414895,0.461977,1.001930,220.4245
0.416466,0.463552,1.001360,220.2991
0.418038,0.465125,1.000791,220.1740
0.419610,0.466697,1.000223,220.0492
0.421181,0.468269,0.999657,219.9246
0.422753,0.469839,0.999093,219.8004
0.424324,0.471409,0.998529,219.6764
0.425896,0.472978,0.997967,219.5528
0.427467,0.474546,0.997406,219.4294
0.429039,0.476113,0.996847,219.3063
0.430611,0.477679,0.996288,219.1834
0.432182,0.479244,0.995731,219.0609
0.433754,0.480809,0.995176,218.9386
0.435325,0.482372,0.994621,218.8167
0.436897,0.483935,0.994068,218.6949
0.438468,0.485497,0.993516,218.5735
0.440040,0.487058,0.992965,218.4523
0.441612,0.488618,0.992416,218.3314
0.443183,0.490177,0.991867,218.2108
0.444755,0.491735,0.991320,218.0904
0.446326,0.493293,0.990774,217.9703
0.447898,0.494849,0.990229,217.8504
0.449469,0.496405,0.989686,217.7309
0.451041,0.497960,0.989143,217.6115
0.452613,0.499514,0.988602,217.4924
0.454184,0.501068,0.988062,217.3736
0.455756,0.502620,0.987523,217.2550
0.457327,0.504171,0.986985,217.1367
0.458899,0.505722,0.986448,217.0186
0.460470,0.507272,0.985913,216.9008
0.462042,0.508821,0.985378,216.7832
0.463614,0.510369,0.984845,216.6659
0.465185,0.511917,0.984313,216.5488
0.466757,0.513463,0.983782,216.4319
0.468328,0.515009,0.983251,216.3153
0.469900,0.516554,0.982722,216.1989
0.471471,0.518098,0.982194,216.0828
0.473043,0.519641,0.981668,215.9669
0.474615,0.521183,0.981142,215.8512
0.476186,0.522725,0.980617,215.7357
0.477758,0.524265,0.980093,215.6205
0.479329,0.525805,0.979570,215.5055
0.480901,0.527344,0.979049,215.3907
0.482472,0.528882,0.978528,215.2762
0.484044,0.530420,0.978008,215.1619
0.485616,0.531956,0.977490,215.0478
0.487187,0.533492,0.976972,214.9339
0.488759,0.535027,0.976455,214.8202
0.490330,0.536561,0.975940,214.7068
0.491902,0.538095,0.975425,214.5935
0.493473,0.539627,0.974911,214.4805
0.495045,0.541159,0.974399,214.3677
0.496617,0.542690,0.973887,214.2551
0.498188,0.544220,0.973376,214.1427
0.499760,0.545749,0.972866,214.0305
0.501331,0.547278,0.972357,213.9185
0.502903,0.548806,0.971849,213.8067
0.504474,0.550333,0.971342,213.6952
0.506046,0.551859,0.970835,213.5838
0.507618,0.553384,0.970330,213.4726
0.509189,0.554909,0.969826,213.3617
0.510761,0.556432,0.969322,213.2509
0.512332,0.557955,0.968820,213.1403
0.513904,0.559478,0.968318,213.0299
0.515475,0.560999,0.967817,212.9197
0.517047,0.562520,0.967317,212.8097
0.518619,0.564039,0.966818,212.6999
0.520190,0.565558,0.966319,212.5903
0.521762,0.567077,0.965822,212.4809
0.523333,0.568594,0.965325,212.3716
0.524905,0.570111,0.964830,212.2625
0.526476,0.571627,0.964335,212.1537
0.528048,0.573142,0.963841,212.0450
0.529620,0.574656,0.963347,211.9364
0.531191,0.576170,0.962855,211.8281
0.532763,0.577683,0.962363,211.7199
0.534334,0.579195,0.961873,211.6120
0.535906,0.580706,0.961383,211.5042
0.537477,0.582216,0.960893,211.3965
0.539049,0.583726,0.960405,211.2891
0.540621,0.585235,0.959917,211.1818
0.542192,0.586743,0.959430,211.0747
0.543764,0.588251,0.958944,210.9677
0.545335,0.589757,0.958459,210.8609
0.546907,0.591263,0.957974,210.7543
0.548478,0.592768,0.957490,210.6479
0.550050,0.594273,0.957007,210.5416
0.551622,0.595776,0.956525,210.4354
0.553193,0.597279,0.956043,210.3295
0.554765,0.598781,0.955562,210.2237
0.556336,0.600283,0.955082,210.1180
0.557908,0.601783,0.954603,210.0126
0.559479,0.603283,0.954124,209.9072
0.561051,0.604782,0.953646,209.8021
0.562623,0.606281,0.953168,209.6970
0.564194,0.607778,0.952692,209.5922
0.565766,0.609275,0.952216,209.4875
0.567337,0.610771,0.951741,209.3829
0.568909,0.612267,0.951266,209.2785
0.570480,0.613761,0.950792,209.1742
0.572052,0.615255,0.950319,209.0701
0.573624,0.616748,0.949846,208.9662
0.575195,0.618241,0.949374,208.8623
0.576767,0.619732,0.948903,208.7587
0.578338,0.621223,0.948432,208.6551
0.579910,0.622713,0.947962,208.5517
0.581481,0.624203,0.947493,208.4485
0.583053,0.625691,0.947024,208.3454
0.584625,0.627179,0.946556,208.2424
0.586196,0.628666,0.946089,208.1396
0.587768,0.630153,0.945622,208.0369
0.589339,0.631639,0.945156,207.9343
0.590911,0.633124,0.944690,207.8319
0.592482,0.634608,0.944225,207.7296
0.594054,0.636092,0.943761,207.6274
0.595626,0.637574,0.943297,207.5254
0.597197,0.639056,0.942834,207.4235
0.598769,0.640538,0.942371,207.3217
0.600340,0.642018,0.941909,207.2200
0.601912,0.643498,0.941448,207.1185
0.603483,0.644978,0.940987,207.0171
0.605055,0.646456,0.940527,206.9158
0.606627,0.647934,0.940067,206.8147
0.608198,0.649411,0.939608,206.7137
0.609770,0.650887,0.939149,206.6128
0.611341,0.652363,0.938691,206.5120
0.612913,0.653838,0.938233,206.4113
0.614484,0.655312,0.937776,206.3108
0.616056,0.656785,0.937320,206.2103
0.617628,0.658258,0.936864,206.1100
0.619199,0.659730,0.936408,206.0098
0.620771,0.661201,0.935953,205.9098
0.622342,0.662672,0.935499,205.8098
0.623914,0.664141,0.935045,205.7099
0.625485,0.665611,0.934592,205.6102
0.627057,0.667079,0.934139,205.5106
0.628629,0.668547,0.933687,205.4111
0.630200,0.670014,0.933235,205.3116
0.631772,0.671480,0.932783,205.2123
0.633343,0.672946,0.932332,205.1131
0.634915,0.674411,0.931882,205.0140
0.636486,0.675875,0.931432,204.9151
0.638058,0.677338,0.930983,204.8162
0.639630,0.678801,0.930534,204.7174
0.641201,0.680263,0.930085,204.6187
0.642773,0.681724,0.929637,204.5201
0.644344,0.683185,0.929189,204.4217
0.645916,0.684645,0.928742,204.3233
0.647487,0.686104,0.928296,204.2250
0.649059,0.687563,0.927849,204.1268
0.650631,0.689020,0.927403,204.0288
0.652202,0.690478,0.926958,203.9308
0.653774,0.691934,0.926513,203.8329
0.655345,0.693390,0.926069,203.7351
0.656917,0.694845,0.925624,203.6374
0.658488,0.696299,0.925181,203.5398
0.660060,0.697753,0.924737,203.4422
0.661632,0.699206,0.924295,203.3448
0.663203,0.700658,0.923852,203.2475
0.664775,0.702109,0.923410,203.1502
0.666346,0.703560,0.922968,203.0531
0.667918,0.705011,0.922527,202.9560
0.669489,0.706460,0.922086,202.8590
0.671061,0.707909,0.921646,202.7621
0.672633,0.709357,0.921206,202.6653
0.674204,0.710804,0.920766,202.5685
0.675776,0.712251,0.920327,202.4719
0.677347,0.713697,0.919888,202.3753
0.678919,0.715142,0.919449,202.2788
0.680490,0.716587,0.919011,202.1824
0.682062,0.718031,0.918573,202.0861
0.683634,0.719474,0.918136,201.9898
0.685205,0.720917,0.917698,201.8937
0.686777,0.722359,0.917262,201.7976
0.688348,0.723800,0.916825,201.7015
0.689920,0.725240,0.916389,201.6056
0.691491,0.726680,0.915953,201.5097
0.693063,0.728119,0.915518,201.4139
0.694635,0.729558,0.915083,201.3182
0.696206,0.730996,0.914648,201.2226
0.697778,0.732433,0.914214,201.1270
0.699349,0.733869,0.913779,201.0315
0.700921,0.735305,0.913346,200.9360
0.702492,0.736740,0.912912,200.8407
0.704064,0.738174,0.912479,200.7454
0.705636,0.739608,0.912046,200.6501
0.707207,0.741041,0.911614,200.5550
0.708779,0.742473,0.911181,200.4599
0.710350,0.743905,0.910749,200.3648
0.711922,0.745336,0.910318,200.2699
0.713493,0.746766,0.909886,200.1750
0.715065,0.748196,0.909455,200.0801
0.716637,0.749625,0.909024,199.9854
0.718208,0.751053,0.908594,199.8906
0.719780,0.752480,0.908164,199.7960
0.721351,0.753907,0.907734,199.7014
0.722923,0.755334,0.907304,199.6068
0.724494,0.756759,0.906874,199.5124
0.726066,0.758184,0.906445,199.4179
0.727638,0.759608,0.906016,199.3236
0.729209,0.761032,0.905588,199.2293
0.730781,0.762455,0.905159,199.1350
0.732352,0.763877,0.904731,199.0408
0.733924,0.765298,0.904303,198.9467
0.735495,0.766719,0.903875,198.8526
0.737067,0.768139,0.903448,198.7586
0.738639,0.769559,0.903021,198.6646
0.740210,0.770978,0.902594,198.5706
0.741782,0.772396,0.902167,198.4768
0.743353,0.773813,0.901741,198.3829
0.744925,0.775230,0.901314,198.2891
0.746496,0.776646,0.900888,198.1954
0.748068,0.778062,0.900462,198.1017
0.749640,0.779477,0.900037,198.0081
0.751211,0.780891,0.899611,197.9145
0.752783,0.782304,0.899186,197.8210
0.754354,0.783717,0.898761,197.7275
0.755926,0.785129,0.898336,197.6340
0.757497,0.786541,0.897912,197.5406
0.759069,0.787951,0.897487,197.4472
0.760641,0.789361,0.897063,197.3539
0.762212,0.790771,0.896639,197.2606
0.763784,0.792180,0.896215,197.1674
0.765355,0.793588,0.895792,197.0742
0.766927,0.794995,0.895368,196.9810
0.768498,0.796402,0.894945,196.8879
0.770070,0.797808,0.894522,196.7948
0.771642,0.799214,0.894099,196.7017
0.773213,0.800619,0.893676,196.6087
0.774785,0.802023,0.893253,196.5158
0.776356,0.803426,0.892831,196.4228
0.777928,0.804829,0.892409,196.3299
0.779499,0.806231,0.891987,196.2371
0.781071,0.807633,0.891565,196.1442
0.782643,0.809033,0.891143,196.0514
